crop,area_feddans,season,soil_type,region,seed_cost_egp,fertilizer_cost_egp,irrigation_cost_egp,labor_cost_egp,pesticide_cost_egp,profit_per_feddan_egp,price_egp_per_ton
Cotton,84,Nile,Loamy,Upper_Egypt,28146,17236,17183,5507,5952,18401,30543
Fava Beans,8,Winter,Loamy,Upper_Egypt,194,8266,14398,11285,7699,18943,44480
Rice,100,Summer,Loamy,Delta,77175,60935,68587,53294,29437,82792,23372
Cotton,10,Summer,Clay,NewLands,10295,8372,5470,7147,4727,15021,31986
Potato,89,Winter,Loamy,North_Coast,20396,9394,10383,20658,19299,35193,5807
Wheat,75,Winter,Calcareous,North_Coast,0,35916,13189,7600,3042,25208,18300
Rice,221,Summer,Clay,Delta,9458,17498,0,12617,7852,87487,23907
Tomato,14,Nile,Loamy,Sinai,43312,18089,53788,66519,21546,43303,4753
Cotton,7,Summer,Loamy,NewLands,7110,5951,4020,5802,3917,13029,29185
Maize,3,Summer,Sandy,Delta,3346,3800,7208,19526,8048,41587,13175
Potato,84,Winter,Sandy,NewLands,127944,33513,3825,0,26839,38306,5671
Sugarcane,5,Summer,Loamy,Upper_Egypt,8613,8024,7260,9745,3010,95707,2500
Cotton,61,Summer,Calcareous,Upper_Egypt,20984,38094,873,740,2215,18840,30185
Rice,345,Summer,Loamy,Delta,9381,1082,18862,28974,6550,82980,21902
Rice,154,Summer,Clay,NewLands,9727,20377,6726,9965,12181,83889,22010
Cotton,26,Summer,Sandy,Delta,0,5846,0,37600,11959,14793,29054
Wheat,139,Winter,Sandy,Delta,37404,16588,6834,0,5771,28763,17935
Sugarcane,194,Nile,Clay,Upper_Egypt,0,69722,41470,62366,20705,96883,2500
Fava Beans,74,Winter,Clay,Delta,9219,4227,8097,8949,11337,26683,44364
Rice,99,Summer,Loamy,North_Coast,23891,1851,1681,18861,11028,85955,22189
Potato,74,Winter,Loamy,Delta,119998,16108,25186,42237,6785,57722,6812
Sugarcane,387,Summer,Loamy,Upper_Egypt,0,95841,55698,53529,0,107232,2500
Rice,361,Summer,Clay,Delta,39257,18602,18620,3655,21831,80937,23039
Maize,170,Summer,Clay,Upper_Egypt,0,12729,15046,3527,12447,29985,12625
Tomato,53,Winter,Calcareous,Delta,14269,35926,30718,25357,13970,20280,4179
Tomato,100,Nile,Clay,Sinai,98123,93266,97209,118100,69109,25872,4466
Rice,3,Summer,Clay,Delta,2556,2229,2860,2170,1268,84780,22339
Fava Beans,50,Winter,Loamy,Upper_Egypt,25179,14481,12341,17331,8954,23165,44558
Maize,293,Summer,Clay,Upper_Egypt,26547,15153,1911,583,6997,32680,12855
Tomato,81,Nile,Calcareous,Sinai,33749,31791,0,54032,14610,37131,4290
Cotton,149,Summer,Clay,Delta,594,33378,2636,43559,0,14228,28999
Rice,15,Summer,Clay,Delta,0,32113,13241,3846,14606,77079,24064
Sugarcane,100,Nile,Loamy,Upper_Egypt,145709,157404,118015,150438,42105,94763,2500
Sugarcane,3,Summer,Loamy,Upper_Egypt,6893,5800,5829,5509,1687,100297,2500
Tomato,44,Summer,Sandy,Upper_Egypt,27489,40540,9534,66069,5388,26933,4777
Fava Beans,37,Winter,Clay,North_Coast,20849,0,2571,20978,6186,15625,44317
Sugarcane,130,Summer,Clay,NewLands,56716,97181,1603,45064,3080,115534,2500
Cotton,85,Summer,Sandy,Upper_Egypt,12088,11079,10900,6746,13479,16406,27089
Tomato,21,Nile,Sandy,Delta,17019,3439,59762,34757,17177,29826,3836
Rice,30,Summer,Loamy,Delta,26358,16331,20336,18458,9604,81441,23113
Potato,7,Winter,Clay,Delta,12910,10924,8945,10204,4324,49343,6382
Wheat,102,Winter,Sandy,Upper_Egypt,0,12917,5759,21414,572,27443,18491
Fava Beans,25,Winter,Sandy,Delta,14605,11739,4765,12182,0,20140,44484
Tomato,50,Nile,Sandy,Delta,59021,51835,55664,63932,32006,39352,4286
Potato,97,Winter,Clay,Delta,55251,68032,39468,0,30639,50992,5071
Fava Beans,7,Winter,Sandy,Sinai,3558,2251,2464,2858,1433,16814,44393
Wheat,20,Winter,Clay,North_Coast,15412,11231,7090,10930,5995,28839,18194
Maize,283,Summer,Clay,North_Coast,23723,32670,18084,7480,7634,23646,13319
Fava Beans,30,Winter,Loamy,Upper_Egypt,14110,10266,0,7092,8126,24210,44553
Tomato,30,Nile,Loamy,Sinai,37067,34294,31650,32426,23005,35647,3646
Sugarcane,82,Summer,Clay,Upper_Egypt,80417,921,41055,85390,7827,105676,2500
Potato,52,Nile,Sandy,NewLands,55804,40805,50091,10835,22846,47149,5718
Wheat,20,Winter,Loamy,Sinai,15244,10763,9125,10427,5595,26548,18092
Wheat,47,Winter,Sandy,NewLands,17052,14374,11162,17486,13871,21240,18698
Tomato,10,Winter,Loamy,North_Coast,25350,39877,24204,45659,14606,38734,4868
Rice,100,Summer,Clay,Delta,79193,59731,72662,42836,27948,98811,23535
Fava Beans,30,Winter,Sandy,Upper_Egypt,13104,7310,9135,10696,5320,20298,44375
Sugarcane,10,Summer,Clay,Upper_Egypt,19201,18610,13870,19058,5539,100772,2500
Tomato,79,Nile,Sandy,North_Coast,18024,26402,15821,8898,0,40419,4562
Sugarcane,3,Summer,Loamy,Upper_Egypt,5879,5732,4550,6241,1604,103903,2500
Rice,3,Summer,Clay,Delta,2749,2380,2301,2117,1379,75523,22725
Fava Beans,27,Winter,Clay,North_Coast,30856,1870,7283,1,7160,14910,44473
Cotton,44,Summer,Sandy,NewLands,40970,7385,18976,39527,10103,19908,28289
Cotton,105,Summer,Clay,Delta,38324,27060,20003,0,24276,14779,28163
Rice,30,Summer,Loamy,Delta,20984,20984,22845,18858,9833,69831,23467
Cotton,58,Summer,Sandy,NewLands,0,0,24295,19722,3060,23901,31751
Rice,266,Nile,Clay,Delta,29658,12037,13135,21332,11574,86897,22959
Maize,250,Summer,Sandy,Upper_Egypt,2399,0,10830,5266,5285,43884,13304
Wheat,10,Winter,Sandy,NewLands,7831,6186,4688,4421,3392,31002,18580
Potato,7,Summer,Clay,North_Coast,44700,32589,38258,0,9957,31822,5564
Wheat,100,Winter,Clay,North_Coast,48005,0,1173,0,2914,22933,18580
Rice,20,Summer,Loamy,Delta,14850,12842,14052,10767,6288,80551,23884
Rice,36,Summer,Clay,North_Coast,0,29219,0,31644,3689,76125,22980
Potato,52,Winter,Clay,Delta,76876,56207,27335,35559,32572,38861,6870
Fava Beans,50,Winter,Loamy,Sinai,27503,13311,13631,15797,9180,26670,44106
Potato,8,Winter,Loamy,Delta,41206,40904,0,42246,25448,34472,6431
Cotton,59,Summer,Loamy,Delta,12998,18661,16008,26084,17699,13771,29967
Rice,7,Summer,Loamy,Delta,5907,4921,5416,4603,2548,80759,22829
Tomato,19,Summer,Sandy,Delta,35802,9406,6190,9013,3490,31980,4457
Wheat,112,Winter,Sandy,North_Coast,0,36987,0,0,20081,33649,17477
Cotton,12,Summer,Sandy,Upper_Egypt,11897,27063,30352,24849,0,14693,29536
Rice,352,Summer,Loamy,Delta,4117,12917,19372,4874,3833,81028,23205
Rice,30,Summer,Clay,Delta,26713,17968,24167,14999,12134,94713,23849
Rice,118,Summer,Clay,Delta,16955,10,31628,26294,14686,75973,22703
Maize,10,Summer,Clay,NewLands,6639,5035,3750,4791,2647,31855,12797
Rice,305,Summer,Loamy,North_Coast,24949,0,29754,14279,0,75677,22712
