crop,area_feddans,region,season,soil_type,yield_tonnes_per_feddan,production_tonnes
Fava Beans,167,Upper_Egypt,Winter,Sandy,3.84,641.3
Tomato,56,Delta,Nile,Calcareous,11.409,638.9
Tomato,2,North_Coast,Nile,Loamy,12.822,25.6
Rice,357,Delta,Summer,Loamy,3.309,1181.3
Cotton,178,NewLands,Summer,Sandy,0.903,160.7
Tomato,156,Delta,Nile,Sandy,13.452,2098.5
Wheat,170,Sinai,Winter,Sandy,0.858,145.9
Wheat,336,Delta,Nile,Loamy,2.524,848.1
Tomato,75,Sinai,Nile,Sandy,12.04,903.0
Sugarcane,71,Upper_Egypt,Nile,Loamy,48.502,3443.6
Fava Beans,161,Delta,Nile,Clay,6.788,1092.9
Rice,568,Delta,Summer,Loamy,5.120720000000001,2908.6
Wheat,456,Upper_Egypt,Winter,Clay,2.949,1344.7
Rice,694,Delta,Summer,Clay,4.957,3440.2
Sugarcane,693,Upper_Egypt,Summer,Sandy,40.999,28412.3
Tomato,1,Upper_Egypt,Summer,Sandy,7.802,7.8
Fava Beans,140,Delta,Winter,Clay,5.529,774.1
Tomato,38,Sinai,Winter,Loamy,12.293,467.1
Tomato,157,Delta,Summer,Sandy,11.631,1826.1
Cotton,140,Upper_Egypt,Nile,Sandy,1.115,156.1
Cotton,37,Upper_Egypt,Nile,Sandy,0.699,25.9
Tomato,192,North_Coast,Nile,Loamy,17.467,3353.7
Sugarcane,588,NewLands,Nile,Clay,42.694,25104.1
Maize,930,Delta,Summer,Clay,2.533,2355.7
Rice,246,North_Coast,Nile,Clay,2.527,621.6
Tomato,106,North_Coast,Nile,Clay,18.126,1921.4
Fava Beans,48,Delta,Winter,Loamy,4.861,233.3
Maize,21,NewLands,Summer,Sandy,2.093,44.0
Rice,630,Delta,Nile,Clay,3.292,2074.0
Cotton,71,Upper_Egypt,Summer,Sandy,1.176,83.5
Wheat,355,North_Coast,Winter,Calcareous,1.732,614.9
Tomato,151,Delta,Summer,Sandy,18.328,2767.5
Fava Beans,123,Upper_Egypt,Nile,Clay,3.692,454.1
Wheat,71,Upper_Egypt,Winter,Clay,1.909,135.5
Wheat,93,Delta,Nile,Sandy,1.364,126.9
Sugarcane,592,NewLands,Nile,Clay,43.236,25595.7
Wheat,200,Upper_Egypt,Winter,Sandy,2.502,500.4
Sugarcane,701,Upper_Egypt,Summer,Loamy,58.513,41017.6
Maize,105,Delta,Summer,Calcareous,3.453,362.6
Cotton,173,Upper_Egypt,Summer,Sandy,1.148,198.6
Wheat,474,Upper_Egypt,Winter,Loamy,2.206,1045.6
Maize,133,North_Coast,Summer,Calcareous,2.757,366.7
