nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,soil_ph,organic_matter_pct,temperature_avg_c,humidity_pct,rainfall_mm,soil_type,region,season,recommended_crop
59.3,38.5,170.4,7.2,1.4,33.7,44.1,3.9,Clay,Delta,Summer,Cotton
92.0,34.2,211.4,7.2,1.9,34.0,51.7,3.2,Loamy,Upper_Egypt,Nile,Sugarcane
78.5,37.0,197.1,7.4,1.7,16.2,59.7,44.3,Sandy,Delta,Winter,Wheat
96.8,40.8,214.5,6.9,2.0,21.9,61.2,1.6,Loamy,North_Coast,Summer,Maize
21.4,36.2,112.4,6.59,1.47,14.5,76.1,50.4,Clay,North_Coast,Winter,Fava Beans
90.3,34.2,203.2,6.44,1.929,29.7,32.2,3.7,Clay,Upper_Egypt,Summer,Sugarcane
55.3,24.1,176.3,7.59,1.399,40.4,22.2,7.2,Clay,NewLands,Summer,Cotton
73.6,38.3,187.2,7.4,1.5,43.0,37.2,3.1,Loamy,Delta,Summer,Cotton
45.8,30.6,160.3,7.5,1.1,30.4,32.3,6.4,Sandy,Upper_Egypt,Summer,Cotton
91.2,50.7,180.2,6.5,2.5,30.9,76.8,5.8,Clay,Delta,Summer,Rice
80.8,28.4,187.4,6.2,2.0,28.6,78.5,5.5,Sandy,Delta,Summer,Maize
60.2,31.1,173.1,6.7,0.9,41.7,29.7,3.8,Clay,NewLands,Summer,Cotton
26.5,20.8,118.3,6.2,1.194,16.1,79.0,35.1,Sandy,Delta,Winter,Fava Beans
98.8,43.2,192.3,6.56,1.149,21.6,52.7,24.9,Loamy,North_Coast,Winter,Wheat
94.0,52.4,206.9,6.5,1.4,30.5,72.1,6.6,Loamy,North_Coast,Summer,Rice
91.8,35.5,197.4,7.07,2.713,29.7,32.7,1.0,Clay,Upper_Egypt,Nile,Sugarcane
74.5,27.6,238.4,6.84,1.684,36.4,74.9,5.5,Clay,Delta,Nile,Rice
89.4,31.0,208.9,7.64,1.144,16.9,47.5,18.6,Loamy,Delta,Winter,Wheat
67.9,36.6,140.1,7.4,1.4,18.8,43.8,16.4,Sandy,Upper_Egypt,Winter,Wheat
70.6,40.6,155.2,7.43,1.144,27.9,72.0,5.4,Sandy,NewLands,Summer,Maize
98.6,35.3,152.1,6.44,2.109,28.2,51.8,0.2,Loamy,Upper_Egypt,Summer,Sugarcane
100.2,45.3,206.3,7.2,2.5,33.7,33.6,3.2,Clay,NewLands,Nile,Sugarcane
103.7,38.4,199.7,6.9,2.1,33.9,50.9,2.1,Clay,Upper_Egypt,Nile,Sugarcane
82.1,28.9,148.1,6.0,1.9,20.3,68.0,3.3,Clay,Delta,Summer,Maize
42.5,25.8,162.8,7.1,1.3,38.1,35.8,6.1,Clay,Upper_Egypt,Summer,Cotton
73.4,33.4,186.7,5.9,1.252,21.4,70.2,14.3,Loamy,Delta,Winter,Potato
118.8,24.1,149.9,6.64,1.157,22.7,54.7,1.6,Calcareous,NewLands,Summer,Maize
49.1,44.6,117.7,6.9,1.16,10.6,72.1,46.2,Clay,Upper_Egypt,Winter,Fava Beans
82.3,39.9,261.4,6.7,2.1,23.1,62.6,15.0,Loamy,Delta,Winter,Potato
81.6,54.8,153.3,6.8,1.69,32.7,45.4,2.2,Clay,Upper_Egypt,Summer,Sugarcane
95.2,32.5,123.0,6.76,1.991,20.7,47.1,5.5,Sandy,NewLands,Winter,Wheat
110.1,48.4,164.5,7.35,1.652,22.8,54.7,6.5,Clay,NewLands,Summer,Maize
113.4,34.7,211.2,6.2,2.4,35.5,73.3,8.1,Clay,North_Coast,Summer,Rice
82.5,30.4,166.7,6.27,2.057,29.0,52.8,3.8,Clay,North_Coast,Nile,Tomato
88.7,44.1,197.8,7.2,1.1,34.7,32.9,0.4,Clay,Upper_Egypt,Summer,Sugarcane
91.0,49.7,200.2,6.4,2.5,20.4,74.1,4.0,Loamy,North_Coast,Winter,Potato
46.8,40.8,180.2,6.33,1.773,18.3,78.8,25.2,Loamy,Sinai,Winter,Fava Beans
81.8,39.2,138.6,7.9,1.767,15.4,49.4,34.0,Clay,Delta,Winter,Wheat
42.8,42.5,169.3,7.0,1.1,42.7,37.6,5.9,Sandy,NewLands,Nile,Cotton
102.1,35.1,187.9,6.6,2.8,35.1,71.5,5.1,Clay,Delta,Summer,Rice
32.3,42.1,114.8,7.3,1.7,11.4,63.2,19.9,Sandy,Upper_Egypt,Nile,Fava Beans
77.0,34.2,210.7,6.8,2.2,22.1,74.1,11.2,Clay,North_Coast,Nile,Potato
118.0,35.4,193.5,6.2,1.8,28.1,51.7,4.3,Clay,Upper_Egypt,Summer,Maize
67.4,45.4,198.4,7.2,1.4,17.3,58.9,53.7,Loamy,Delta,Winter,Wheat
81.3,42.1,192.2,6.3,2.4,34.8,67.2,3.7,Loamy,Delta,Summer,Rice
94.4,51.0,215.3,6.7,2.2,35.4,43.8,1.1,Clay,Upper_Egypt,Nile,Sugarcane
78.4,35.6,162.5,7.0,1.9,29.6,41.1,1.6,Clay,Upper_Egypt,Nile,Sugarcane
84.7,35.2,211.7,7.0,1.1,34.2,53.0,3.2,Clay,Upper_Egypt,Nile,Sugarcane
93.3,51.7,235.0,6.56,2.477,31.7,82.6,0.2,Loamy,North_Coast,Summer,Rice
94.4,26.0,166.9,6.4,1.8,20.2,76.0,3.8,Loamy,North_Coast,Nile,Maize
63.0,36.9,155.4,6.5,1.4,36.0,20.1,2.7,Clay,NewLands,Nile,Cotton
75.5,34.6,170.3,7.5,1.5,21.2,68.0,4.4,Sandy,Delta,Summer,Maize
96.7,26.7,193.1,6.15,1.42,26.0,25.2,2.2,Loamy,Upper_Egypt,Summer,Sugarcane
33.2,37.1,210.9,6.4,2.0,17.7,63.4,19.8,Clay,Upper_Egypt,Winter,Fava Beans
63.3,48.5,212.0,6.7,1.5,20.5,65.8,3.7,Sandy,Delta,Summer,Tomato
91.4,53.3,213.2,7.33,1.627,37.6,36.0,3.8,Loamy,Upper_Egypt,Summer,Sugarcane
71.0,38.4,200.7,6.8,1.7,20.4,54.1,6.9,Sandy,Sinai,Nile,Tomato
97.4,48.3,186.0,7.46,0.881,29.6,71.2,5.2,Loamy,Upper_Egypt,Summer,Maize
86.8,31.6,224.9,5.52,1.562,23.0,51.7,30.2,Calcareous,North_Coast,Winter,Potato
80.9,43.0,234.0,6.2,2.3,19.7,54.7,31.8,Clay,North_Coast,Winter,Potato
92.7,39.8,165.2,7.28,2.12,22.1,50.6,3.4,Sandy,North_Coast,Summer,Maize
38.7,33.0,191.8,7.38,2.655,15.1,73.9,24.8,Sandy,Delta,Winter,Fava Beans
76.4,45.8,172.1,6.1,2.7,18.1,63.2,25.5,Loamy,Delta,Winter,Potato
20.0,36.2,151.9,6.53,0.859,18.2,76.3,44.0,Clay,Delta,Winter,Fava Beans
84.2,44.8,200.4,6.68,1.482,18.8,53.5,23.4,Loamy,North_Coast,Winter,Wheat
68.4,25.4,247.0,6.55,2.913,24.5,54.0,4.0,Sandy,Delta,Nile,Tomato
112.2,28.1,212.0,6.61,2.002,27.8,79.1,4.5,Clay,Upper_Egypt,Summer,Maize
